Swimmer name,Year of birth,Country,Time,Splits,Date
"CSEH, Laszlo",1985,Hungary,1:57.61,"['24.82', '29.04', '35.18', '28.57']",28 Jul 2005
"JANUSAITIS, Vytautas",1981,Lithuania,1:59.72,"['25.83', '30.41', '34.74', '28.74']",27 Jul 2005
"BOGGIATTO, Alessio",1981,Italy,2:00.24,"['26.42', '31.24', '34.32', '28.26']",27 Jul 2005
"BEREZUTSKIY, Igor",1984,Russia,2:01.11,"['26.11', '30.78', '35.79', '28.43']",27 Jul 2005
"TUMIOTTO, Leonardo",1983,Italy,2:01.52,"['26.72', '31.04', '34.31', '29.45']",6 Apr 2005
"KEREKJARTO, Tamas",1979,Hungary,2:01.61,"['26.29', '31.05', '1:04.']",25 Jun 2005
"FEBBRARO, Nicola",1981,Italy,2:01.70,"['26.84', '31.25', '34.87', '28.74']",10 Jun 2005
"FRANCIS, Robin",1982,Great Britain,2:01.90,[],7 Aug 2005
"CARRY, David",1981,Great Britain,2:02.16,"['27.29', '31.72', '35.17', '27.98']",27 May 2005
"TAIT, Gregor",1979,Great Britain,2:02.20,[],8 Aug 2005
"ALEXANDROV, Mihail",1985,Bulgaria,2:02.32,"['25.78', '32.08', '35.39', '29.07']",27 Jul 2005
"AGGELE van, Robin",1984,Netherlands,2:02.42,"['26.41', '1:36.']",24 Apr 2005
"CIANCARINI, Simone",1979,Italy,2:02.46,"['26.56', '31.57', '35.46', '28.87']",4 Aug 2005
"LENDJEL, Dominique",1985,Germany,2:02.61,"['56.75', '1:05.']",24 May 2005
"ZATSEPIN, Alexey",1984,Russia,2:02.77,[],24 Jun 2005
"DALE, Euan",1985,Great Britain,2:02.88,[],14 Aug 2005
"MARIN, Luca",1986,Italy,2:02.96,"['27.70', '30.99', '35.81', '28.46']",4 Aug 2005
"KORZENIOWSKI, Pawel",1985,Poland,2:03.12,[],19 Mar 2005
"CABELLO FORNS, Brenton",1981,Spain,2:03.19,"['26.30', '1:36.']",31 Mar 2005
"ROSOLINO, Massimiliano",1978,Italy,2:03.21,[],Jun 2005
"DRYMONAKOS, Ioannis",1984,Greece,2:03.30,[],13 May 2005
"ROSTOUCHER, Nicolas",1981,France,2:03.38,"['28.55', '31.79', '35.65', '27.39']",16 Apr 2005
"ROEBUCK, Joe",1985,Great Britain,2:03.44,[],18 Mar 2005
"WENZEL, Oliver",1981,Germany,2:03.52,"['57.51', '1:06.']",24 May 2005
"VERRASZTO, David",1988,Hungary,2:03.59,"['27.77', '31.71', '35.65', '28.46']",17 Jul 2005
"WOJT, Lukasz",1982,Poland,2:03.70,"['57.73', '1:05.']",24 May 2005
"GILCHRIST, Kristopher",1983,Great Britain,2:03.72,[],1 Jul 2005
"JASINSKI, Jakub",1987,Poland,2:03.77,"['26.90', '30.88', '36.93', '29.06']",17 Jul 2005
"KOKKODIS, Ioannis",1981,Greece,2:03.77,"['26.70', '31.35', '35.86', '29.86']",27 Jul 2005
"ROGAN, Markus",1982,Austria,2:03.93,[],24 Apr 2005
"KASPROWICZ, Kamil",1984,Germany,2:04.03,"['26.30', '31.85', '1:05.']",8 May 2005
"NAGY, Peter",1980,Hungary,2:04.03,[],12 Aug 2005
"SERGEYEV, Sergiy",1970,Ukraine,2:04.31,[],15 Mar 2005
"ALMEIDA, Carlos Esteves",1988,Portugal,2:04.32,"['27.24', '32.45', '35.68', '28.95']",17 Jul 2005
"STOSS, Sebastian",1986,Austria,2:04.46,"['27.80', '31.81', '36.58', '28.27']",10 Jun 2005
